Zhang Xiaorui|None!!!Intelligent Information Processing and Data Mining in the Application of Mobile Learning
Xu JunWu|None!!!Develop Mobile Application with J2ME for 3G Networks
Hantian Wei|Nanchang University!!!Web agent intelligent services based on granular computing
Kun Xiao|None!!!Component-based Mobile Web Application of Cross-platform
Jiadi Yu|Shanghai Jiao Tong University!!!A Distributed Auction Approach to Crowdsourced Sensing over Smartphones*@*Towards Truthful Mechanisms for Mobile Crowdsourcing with Dynamic Smartphones*@*Load balance vs utility maximization in mobile crowd sensing: A distributed approach*@*Towards Truthful Mechanisms for Mobile Crowdsourcing with Dynamic Smartphones*@*Towards Redundancy-Aware Data Utility Maximization in Crowdsourced Sensing with Smartphones*@*A Distributed Auction Approach to Crowdsourced Sensing over Smartphones*@*Towards Redundancy-Aware Data Utility Maximization in Crowdsourced Sensing with Smartphones*@*Load balance vs utility maximization in mobile crowd sensing: A distributed approach*@*Group Buying Based Incentive Mechanism for Mobile Crowd Sensing*@*Towards Redundancy-Aware Data Utility Maximization in Crowdsourced Sensing with Smartphones*@*Towards Redundancy-Aware Data Utility Maximization in Crowdsourced Sensing with Smartphones*@*OutSense: Out-of-Band Sensing with ZigBee Sensors for Channel Adaptation in Wireless LANs*@*Towards Truthful Mechanisms for Mobile Crowdsourcing with Dynamic Smartphones*@*Utility-maximizing data collection in crowd sensing: An optimal scheduling approach
Xin Su|Tsinghua University!!!Energy-Aware Participant Selection for Smartphone-Enabled Mobile Crowd Sensing*@*Energy-Aware Participant Selection for Smartphone-Enabled Mobile Crowd Sensing*@*Invisible Secure Keypad Solution Resilient against Shoulder Surfing Attacks
Wenting Wang|Shanghai Jiao Tong University!!!Characterizing web application performance for maximizing service providers' profits in clouds
Han Jun|China Three Gorges University!!!Study on a novel crowding niche genetic algorithm
Qing Cai|Xidian University!!!A novel bi-objective model with particle swarm optimizer for structural balance analytics in social networks*@*A particle swarm optimization approach for handling network social balance problem
Chenhui Li|None!!!Behavior-Based Simulation of Real-Time Crowd Evacuation
Xiaofen Yao|University of Science and Technology Beijing!!!Ontology-based service matching in cloud computing
Zhe Zhang|None!!!A Cooperation Based Metric for Mobile Applications Recommendation
Xianzhi Huang|Shandong University!!!A Service-Oriented Business Rule-Based Application Platform in Pervasive Computing Environments
Lei Zhipeng|PLA University of Science and Technology!!!Topological structure modeling and analysis for cyber-physical systems
Kebo Zhang|Southwest University!!!Dynamic evolution process of social network community structure based on aggregation-division model
Guoai Xu|Beijing University of Posts and Telecommunications!!!Research on the security model of mobile application
Xueyan Zhou|Harbin University!!!Study on BBS public opinion spreading based on Social Network Analysis
Junsheng Zhang|None!!!Research on the Application of Data Mining to Customer Relationship Management in the Mobile Telecommunications Industry
Xiaoping Li|Southeast University!!!Scheduling Stochastic Multi-stage Jobs on Elastic Computing Services in Hybrid Clouds*@*Resource renting for periodical cloud workflow applications*@*Heuristics for Provisioning Services to Workflows in XaaS Clouds*@*Cloud workflow scheduling with deadlines and time slot availability
Li Zha|None!!!Modeling and Designing Fault-Tolerance Mechanisms for MPI-Based MapReduce Data Computing Framework
Song Li|Nanjing University of Aeronautics and Astronautics!!!Design and implementation of portlet services of cloud computing platforms*@*Towards Operational Cost Minimization in Hybrid Clouds for Dynamic Resource Provisioning with Delay-Aware Optimization*@*Reliable service computing platform architecture for cross-organizational workflows
Liu Ying|None!!!Research on the Vulnerability Predicting Analysis Model for Binary Executables
Zhiyong Yu|Fuzhou University!!!Participant Selection for Offline Event Marketing Leveraging Location-Based Social Networks*@*Buy4Me: A Delivery System via Mobility Prediction Based on Mobile Crowd Sensing*@*Selecting the Best Solvers: Toward Community Based Crowdsourcing for Disaster Management*@*Buy4Me: A Delivery System via Mobility Prediction Based on Mobile Crowd Sensing*@*Selecting the Best Solvers: Toward Community Based Crowdsourcing for Disaster Management
Fei Jiang|Peking University!!!Influence Maximization in Social Networks Based on Non-backtracking Random Walk*@*Fast Search to Detect Communities by Truncated Inverse Page Rank in Social Networks*@*Dynamic community detection based on game theory in social networks*@*A uniform framework for community detection via influence maximization in social networks
Jinfeng Xiang|None!!!A Novel Approach to Providing Elaborate Virtual Block Storage Services in Cloud Computing
Ling Tian|University of Electronic Sci!!!A rate control scheme for distributed high performance video encoding in cloud*@*Component-oriented executable meta-model for SaaS applications
Cheng Qian|Northwestern Polytechnical University!!!Agent and Cyber-Physical System Based Self-Organizing and Self-Adaptive Intelligent Shopfloor
Ji Wang|None!!!Data Race Detection for Interrupt-Driven Programs via Bounded Model Checking
Ji Ma|Beijing University of Posts and Telecommunications!!!Modelling social characteristics of mobile radio networks
Xiaoyan Zhu|National Key Laboratory of Integrated Services Networks Xidian University!!!Privacy-preserving friendship establishment based on blind signature and bloom filter in mobile social networks*@*Weight-aware private matching scheme for Proximity-based Mobile Social Networks*@*P-Match: Priority-Aware Friend Discovery for Proximity-Based Mobile Social Networks*@*G2G: Privacy-preserving group matching for proximity-based mobile social networks
Yingyou Wen|Northeastern University!!!Energy-Efficient Virtual Resource Dynamic Integration Method in Cloud Computing
Chun Guan|None!!!Towards a Hybrid Approach of Primitive Cognitive Network Process and K-Means Clustering for Social Network Analysis
Aidong Xu|None!!!User privacy protection for cloud computing based smart grid*@*Experimental investigation of the packet loss rate of wireless industrial networks in real industrial environments*@*A homogeneous group bargaining algorithm in a smart grid*@*A hardware-in-the-loop simulator for demand response energy management in industrial facilities
PanPan Liu|Wuhan University of Technology!!!Social Network-based Swarm Optimization algorithm
Kun Xie|Hunan University!!!Bloom-Filter-Based Profile Matching for Proximity-Based Mobile Social Networking*@*Distributed Multi-dimensional Pricing for Efficient Application Offloading in Mobile Cloud Computing*@*Distributed Multi-dimensional Pricing for Efficient Application Offloading in Mobile Cloud Computing
Guoquan Wu|None!!!MORE: A Model-Driven Operation Service for Cloud-Based IT Systems
Junwu Zhu|None!!!A Truthful Greedy Mechanism toward Resource Sharing for Cloudlets in Mobile Cloud Computing
Xiaoming Han|None!!!The Management of Application of Big Data in Internet of Thing in Environmental Protection in China
Xiaofeng Liao|None!!!Cloud Computing Service: The Caseof Large Matrix Determinant Computation*@*Cloud Computing Service: The Caseof Large Matrix Determinant Computation
Yuanxin Li|Sun Yat-sen University!!!Multiband Monopole Mobile Phone Antenna With Circular Polarization for GNSS Application
Congxia Zhang|Capital Normal University!!!User Personalized Services Based on Semantic Web for Pervasive Computing
Yan Wu|None!!!A Multilevel Index Model to Expedite Web Service Discovery and Composition in Large-Scale Service Repositories
Yanjun Hou|None!!!Modeling for Short-Form HTTP Adaptive Streaming Considering Memory Effect
Wu Budan|None!!!Recommending friends instantly in location-based mobile social networks
Jiawei Yang|Management Science and Engineering in University of Electronic Science and Technology!!!Research and application by Markov chain operators in the mobile phone market
B. Y. Wu|City University of Hong Kong!!!High Current Density induced Damage Mechanisms in Electronic Solder Joints: A State-of-the-Art Review
Dan Li|Chongqing University of Posts and Telecommunications!!!Network dynamics of mobile social networks
Zhengxiang Zhang|Jilin University!!!Deployment of Service Nodes on the Basis of User Groups in the Pervasive computing
Xifeng Liu|None!!!Cyber-Physical Attack-Oriented Industrial Control Systems (ICS) Modeling, Analysis and Experiment Environment
Zhipei Huang|University of Chinese Academy of Sciences!!!Model-driven multi-target tracking in crowd scenes
Zhucheng Shao|None!!!Spatio-temporal Properties Analysis for Cyber-physical Systems
Jingwei Xu|Nanjing University!!!Artemis-FollowMe: An agent-based middleware for mobile context-aware applications
Rui Zhang|None!!!Service-Oriented Resource Management of Cloud Platforms*@*A Rule-Based Recommendation for Personalization in Social Networks
Wei Guo|Shanghai Jiao Tong University!!!The integration of CPS, CPSS, and ITS: A focus on data*@*SOA-Based Inter-Domain OVPN Service for Coordinated Scheduling of Distributed Computing
Zhiyun Lin|Zhejiang University!!!A new framework of electrical cyber physical systems*@*Assessing electric cyber-physical system using integrated co-simulation platform
Weiwei Wu|Southeast University!!!Multiagent-Based Resource Allocation for Energy Minimization in Cloud Computing Systems*@*Cooperative Application Execution in Mobile Cloud Computing: A Stackelberg Game Approach*@*Providing Service Continuity in Clouds under Power Outage
Ximeng Liu|Xidian University!!!Trustworthy Service Composition in Service-Oriented Mobile Social Networks*@*A Secure Data Self-Destructing Scheme in Cloud Computing
Yong Gao|Peking University!!!Locations recommendation based on check-in data from Location-Based Social Network*@*A design of RESTful style digital gazetteer service in cloud computing environment
Da Li|None!!!An Intra-Cluster CoMP Based Sleep-Mode Scheme in Dense Heterogeneous Network
Yixin Zhao|Tsinghua University!!!A high-performance low-power SoC for mobile one-time password applications
Yan Zhuang|None!!!Privacy-preserving information sharing and management schema for collaborative social networks
Shuja-ul-islam|Southwest Jiaotong University!!!Mobile cloud computing as future for mobile applications - Implementation methods and challenging issues
Donghua Chen|None!!!An Integration Technology for Socially Aware Mobile Applications in Heterogeneous Networking Environments
Juan Xu|Yunnan University!!!An approach for discovering user similarity in social networks based on the Bayesian network and MapReduce
Nong Xiao|None!!!AA-Dedupe: An Application-Aware Source Deduplication Approach for Cloud Backup Services in the Personal Computing Environment
Hua-Hong Zhu|South China University of Technology!!!Voiceprint-biometric template design and authentication based on cloud computing security*@*Voiceprint-biometric template design and authentication based on cloud computing security
Zhentuan Xu|Software School of Xiamen University!!!Friend recommendation algorithm based on location-based social networks*@*Adaptive location recommendation algorithm based on location-based social networks
HuaiKou Miao|Shanghai University!!!Research on service recommendation reliability in mobile computing
Hongyan Mao|None!!!A Context-aware Modeling Framework for Pervasive Applications
Zheli Liu|Nankai University!!!Location-Sharing Systems With Enhanced Privacy in Mobile Online Social Networks*@*A Secure Architecture for Data Storage in the Cloud Environments*@*New Privacy-Preserving Location Sharing System for Mobile Online Social Networks
Jianping Zhu|None!!!Understanding Airline Passenger Behavior through PNR, SOW and Webtrends Data Analysis
Z. Li|Beihang University!!!Strategy for reliability testing and evaluation of cyber physical systems
Xuesong Cao|Wuhan University!!!Adapted routing algorithm in the overlay multicast
Feng Tan|University of Electronic Science and Technology of China!!!An utility-based job scheduling algorithm for Cloud computing considering reliability factor*@*From Offline toward Real-Time: A Hybrid Systems Model Checking and CPS Co-design Approach for Medical Device Plug-and-Play (MDPnP)*@*WiP abstract: A framework on profiling cross-domain noise propagation in control CPS*@*Cyber-Physical System security studies and research
Jialin Zhou|None!!!CSB: Cloud service bus based public SaaS platform for small and median enterprises
Dawei Zhang|None!!!Accurate design of high-performance diplexers for mobile communication base stations applications
Xialei Zhang|Xi’an Jiaotong University!!!On Data Integrity Attacks Against Real-Time Pricing in Energy-Based Cyber-Physical Systems
Liangmin Wang|Jiangsu University!!!Cooperative Query Answer Authentication Scheme Over Anonymous Sensing Data*@*Cooperative Query Answer Authentication Scheme Over Anonymous Sensing Data*@*A Cloud-Based Trust Management Framework for Vehicular Social Networks*@*Exploring Trusted Data Dissemination in a Vehicular Social Network with a Formal Compositional Approach
Guo Chi|None!!!iConCube: A Location-Based Mobile Cloud System for Meeting Organizers and Participants
Huanzhao Chen|Shandong University!!!Cloud computing platform based on intelligent space for service robot
You Zhang|Shanghai University!!!Efficient scheduling strategies in High Performance Computing Service Platform for Shanghai Colleges
Jieren Zhou|None!!!Modeling Interest-Driven Data Dissemination in Online Social Networks
Xuanxuan Wu|None!!!Poster Abstract: GasMon: A Sensor Network System for Residential Building Gas Leak Monitoring
Yi Jiang|None!!!A Truthful Greedy Mechanism toward Resource Sharing for Cloudlets in Mobile Cloud Computing
Yuanqing Xia|None!!!Incentives for delay-constrained data query in mobile opportunistic social networks*@*UIC-ATC-ScalCom-CBDCom-IoP 2015 Keynotes*@*UIC-ATC-ScalCom-CBDCom-IoP 2015 Keynotes
Shaoqiu Xiao|University of Electronic Science and Technology of China!!!A novel compact dual-band monopole antenna for slim internal mobile phone application
Koki Kikuchi|None!!!A floor cleaning robot using Swedish wheels
Feanglei Yang|None!!!Tracking dense crowds of moving cells with an adaptive dual ellipsoidal locator
Xianghui Zhao|None!!!Cloud Computing Service Security and Access: From the Providers and Customers' Perspective
Qipeng Liu|Qingdao University!!!How effectively can the initial opinions influence the opinion formation in social networks with stubborn agents?
Qing-Shan Jia|Tsinghua University!!!An RFID indoor positioning system by using weighted path loss and extreme learning machine
Dragan Milosevic|None!!!An Evolutionary Algorithm for Column Family Schema Optimization in HBase
Jing Cao|None!!!Research on building an innovative electric power marketing business application system based on cloud computing and microservices architecture technologies
Congyin Shi|Peking University!!!A Single-Chip CMOS UHF RFID Reader Transceiver for Chinese Mobile Applications
Yulong Zou|None!!!Robust Spectrum Sensing with Crowd Sensors*@*Robust Spectrum Sensing With Crowd Sensors
Zhengxiong Hou|None!!!ASAAS: Application Software as a Service for High Performance Cloud Computing
Qiu Zhang|BeiHang University!!!Mapping smart tourism research in China: A semantic and social network analysis using CiteSpace
Zheng Zejiu|Shanghai Dianji University!!!A novel strategy to preserve diversity in solving MOEAs based on artificial emphasis on uniformity
Ling Chen|Wuhan University of Technology!!!Purchase decision of cloud computing services under different instance utilization*@*Social-optimized win-win resource allocation for Self-organizing Cloud
Chuanting Zhang|None!!!Deep Learning Based Link Prediction with Social Pattern and External Attribute Knowledge in Bibliographic Networks
Li Linsheng|University of South China!!!Stress analysis of part in service using industrial computed tomography
Liangjiao Liu|Hunan University!!!Security-aware signal packing algorithm for CAN-based automotive cyber-physical systems
Zhenfu Cao|Shanghai Jiao Tong University!!!User self-controllable profile matching for privacy-preserving mobile social networks*@*SDSM: A secure data service mechanism in mobile cloud computing
Pang Xi Yu|None!!!The Application Research of Mobile Agent to Distributed Simulation
Shaomei Li|None!!!An effective community detection algorithm of the social networks
Zhao Wang|Xidian University!!!A novel bi-objective model with particle swarm optimizer for structural balance analytics in social networks
Yunjie Liu|None!!!Gateway as a service: A cloud computing framework for web of things*@*Web of X Service Environment for Ubiquitous Network and Computing
Su Peng|Northeastern University!!!Comments on “Identity-Based Distributed Provable Data Possession in Multicloud Storage”
Jiang Hui|None!!!Algorithm of Classifying Classes of Social Networks
Yaqiong Li|None!!!Temporal Uncertainty of Wind Ramp Predictions Using Probabilistic Forecasting Technique
Minghao Yin|Northeast Normal University!!!Multiobjective Binary Biogeography Based Optimization for Feature Selection Using Gene Expression Data
Li Duan|None!!!Automated Policy Combination for Data Sharing across Multiple Organizations*@*Model-Based Minimum Privacy Disclosure Recommendation for Authorization Policies
Zhiwei Wang|Harbin University!!!An Approach to Context-Aware Service Pushing for Mobile Computing*@*Study on BBS public opinion spreading based on Social Network Analysis
Songling Shan|None!!!Research on the Identification of Software Behavior in Anomaly Detection*@*An Improved Algorithm of Prefixspan
Chendong Duan|Chang'an university!!!Evacuation modelling: An agent based approach
Tianyang Dong|Zhejiang University of Technology!!!Querying Similar Process Models Based on the Hungarian Algorithm
Zhao Bing|None!!!Research on the Vulnerability Predicting Analysis Model for Binary Executables
Li-ying Ding|None!!!The Implementation and Application of Mobile Online Games in China: A Marketing Perspective
Xiao-Yang Liu|Huazhong University of Science and Technology!!!Wormhole: The Hidden Virus Propagation Power of a Search Engine in Social Networks
Guang Yang|Zhejiang University!!!Leveraging Crowdsourcing for Efficient Malicious Users Detection in Large-Scale Social Networks
Lanshun Nie|None!!!Real-Time Wireless Sensor-Actuator Networks for Industrial Cyber-Physical Systems
Ming Huang|None!!!Study on wireless resource consumption of mobile applications in GPRS
Bin Li|Yangzhou University!!!A Truthful Greedy Mechanism toward Resource Sharing for Cloudlets in Mobile Cloud Computing*@*Modeling of Ambient Intelligence Based on Information Fusion and Service Oriented Computing*@*Bio-inspired ant colony optimization based clustering algorithm with mobile sinks for applications in consumer home automation networks*@*Content Availability and Bundling in Swarming Systems
Han Li|None!!!A Framework of Fine-Grained Mobile Sensing Data Collection and Behavior Analysis in an Energy-Configurable Way*@*A Framework of Fine-Grained Mobile Sensing Data Collection and Behavior Analysis in an Energy-Configurable Way
Wen'An Zhou|None!!!An Intra-Cluster CoMP Based Sleep-Mode Scheme in Dense Heterogeneous Network
Song Yingwei|None!!!Ontology Based Service Recommendation System for Social Network
Hailong Feng|Dalian Maritime University!!!Resource allocation in cooperative cognitive radio networks towards maritime cyber physical systems
Dongxiao Yang|Beijing Jiaotong University!!!A mobile digital rights management application System Based on agent technology
Jiefeng Ao|None!!!The Shielding-Effectiveness Based Magnetic Field Shielding Theory and Its Application in Mobile Payment Systems
Qingning Wang|Wuhan University of Technology!!!The application of FFT in mobile energy efficiency detection terminal and the implementation by DSP
Dong Liu|Dalian University of Technology!!!Influence Analysis Based Expert Finding Model and Its Applications in Enterprise Social Network*@*Preserving the Relationship Privacy of the published social-network data based on Compressive Sensing
Hong Ouyang|None!!!Research on building an innovative electric power marketing business application system based on cloud computing and microservices architecture technologies
Jie Huang|None!!!Virtual Page Behavior Based Page Management Policy for Hybrid Main Memory in Cloud Computing
Hong Liang|China University of Petroleum!!!Collaborative intrusion detection as a service in cloud computing environment*@*RaaS - Ranking as a Service
Guoliang Xing|City University of Hong Kong!!!Toward ubiquitous Video-based Cyber-Physical Systems
Xinyan Wang|None!!!MOOC for Medical Big Data Research: An Important Role in Hypertension Big Data Research
Alexis Huet|None!!!Mining of leaders in mobile telecom social networks
Tao Jin|Tsinghua University!!!Refactor Business Process Models with Maximized Parallelism
Zhongwen Zhang|None!!!A Threat to Mobile Cyber-Physical Systems: Sensor-Based Privacy Theft Attacks on Android Smartphones
M. Kamenyi Domenic|None!!!Modeling the spreading behavior of passive worms in mobile social networks
Hui Tian|National Huaqiao University!!!Dynamic-Hash-Table Based Public Auditing for Secure Cloud Storage*@*A context-aware computing mediated dynamic service composition and reconfiguration for ubiquitous environment*@*Friendship influence on mobile behavior of location based social network users
Lianhong Ding|None!!!A Method for Information Source Locating with Incomplete Observation of Online Social Network*@*Looking for Information Source from Online Social Network with Incomplete Observation
ZheHang Tong|None!!!A Framework of Fine-Grained Mobile Sensing Data Collection and Behavior Analysis in an Energy-Configurable Way*@*A Framework of Fine-Grained Mobile Sensing Data Collection and Behavior Analysis in an Energy-Configurable Way
Xun Li|None!!!Design of a panorama parking system based on DM6437
Shuai Liu|National University of Defense Technology!!!Transfer Sparse Subspace Analysis for Unsupervised Cross-View Scene Model Adaptation*@*Transfer Sparse Subspace Analysis for Unsupervised Cross-View Scene Model Adaptation*@*Transfer Sparse Subspace Analysis for Unsupervised Cross-View Scene Model Adaptation
Conghuan Ye|None!!!Secure Multimedia Big Data Sharing in Social Networks Using Fingerprinting and Encryption in the JPEG2000 Compressed Domain
Shuo Feng|None!!!Robust Spectrum Sensing with Crowd Sensors
Chen Tian|Nanjing University!!!Minimizing Content Reorganization and Tolerating Imperfect Workload Prediction for Cloud-Based Video-on-Demand Services*@*Impact of Core Charging Station's Cease Operation in the Entire Charging Station System: A Case Study in Shenzhen
Zhe Zheng|None!!!Bloom-Filter-Based Profile Matching for Proximity-Based Mobile Social Networking
Feng Shao|Ningbo University!!!JND-based asymmetric coding of stereoscopic video for mobile 3DTV applications
Feng Shan|Southeast University!!!Providing Service Continuity in Clouds under Power Outage
Ben Tan|Fudan University!!!Predicting Pedestrian Counts in Crowded Scenes With Rich and High-Dimensional Features
Jiangchun Ren|None!!!ESI-Cloud: Extending Virtual Machine Introspection for Integrating Multiple Security Services
Kaiping Xue|University of Science and Technology of China!!!A Dynamic Secure Group Sharing Framework in Public Cloud Computing*@*TAFC: Time and Attribute Factors Combined Access Control for Time-Sensitive Data in Public Cloud
Peiyuan Dong|None!!!A Security and Safety Framework for Cyber Physical System
Lin Chuang|None!!!A Study on Online Social Networks Theme Semantic Computing Model
Bowen Yu|None!!!Automatic Mobile Application Traffic Identification by Convolutional Neural Networks
Liang Dou|None!!!Evaluating social network reputation based on hybrid efficiency and strategy-proofness
Liwei Huang|None!!!From turing machine intelligence to collective intelligence*@*From turing machine intelligence to collective intelligence
Changqing Xia|Northeastern University!!!Cost minimization of wireless sensor networks with unlimited-lifetime energy for monitoring oil pipelines
Chen Ming-cai|Soochow University!!!A model for vehicular Cyber-Physical System based on extended hybrid automaton
Chao Liu|None!!!Component-Based Cloud Computing Service Architecture for Measurement System*@*CCSA: A Cloud Computing Service Architecture for Sensor Networks
Jialin Zhang|None!!!Influence Maximization in Dynamic Social Networks
Peiyan Yuan|None!!!Opportunities in mobile crowd sensing*@*Opportunities in mobile crowd sensing
Xiaodong Chen|Peking University!!!Influential Node Tracking on Dynamic Social Network: An Interchange Greedy Approach
Ling Yu|Nanjing Normal University!!!A lightweight color barcode algorithm and application in mobile e-commerce
Fang Haiguang|Capital Normal University!!!The research on e-book-oriented mobile learning system environment application and its tendency
Yi Zhu|None!!!The Mobile Agent Based Service Migration Mechanism in Wide Area Pervasive Computing System
Jianhua Zheng|None!!!Influence Analysis Based Expert Finding Model and Its Applications in Enterprise Social Network
Jian Xu|Northeastern University!!!Researchment of cloud computing platform based software craftsmanship pattern*@*Comments on “Identity-Based Distributed Provable Data Possession in Multicloud Storage”
Tiangang Zou|None!!!Rapidly Generate and Visualize the Digest of Massive Time Series Data
Xintong Song|None!!!Holistic Reality Examination on Practical Challenges in a Mobile CrowdSensing Application
Weiyi Liu|Yunnan University!!!An approach for discovering user similarity in social networks based on the Bayesian network and MapReduce
Muzhou Xiong|None!!!A Hybrid Simulation of Large Crowd Evacuation
Wenan Tan|Nanjing University of Aeronautics and Astronautics!!!An efficient algorithm for crowdsourcing workflow tasks to social networks*@*Reliable service computing platform architecture for cross-organizational workflows
Xiaomei Bai|Dalian University of Technology!!!A Hybrid Mechanism for Innovation Diffusion in Social Networks
Lv Xie|None!!!Inferring social relationship in mobile social networks using tempo-spatial information
Chuanqi Tao|None!!!A Viewpoint on Location-Based Mobile Apps Testing*@*Big Data Validation Case Study
Liping Yan|None!!!Incentives for delay-constrained data query in mobile opportunistic social networks
Jiguo Yu|Qufu Normal University!!!Cost-Efficient Strategies for Restraining Rumor Spreading in Mobile Social Networks
Zhiwei Liu|Nanchang University!!!Investigation of the Shielding Length on Yukawa System Crystallization in Mobile Sensor Network Applications
Li Xuan|None!!!A Framework of Cyber-Security Protection for Warship Systems
Wenjuan Cui|None!!!How to use open source data to assess infection disease risk: A framework and applications*@*How to use open source data to assess infection disease risk: A framework and applications
Jian-Nong Cao|None!!!From Offline toward Real-Time: A Hybrid Systems Model Checking and CPS Co-design Approach for Medical Device Plug-and-Play (MDPnP)
Jun Du|PLA University of Science & Technology!!!A byzantine attack defender for censoring-enabled cognitive radio networks*@*Trustable service rating in social networks: A peer prediction method*@*Key issues of incorporating social network effects in product portfolio planning
Tianhan Gao|None!!!Access Authentication Schemes for PMIPV6: A Survey*@*A Novel Hybrid Algorithm Based on Hill Matrix and Haar Domain Sequence*@*An Emergency Communication System Based on UAV-assisted Self-Organizing Network
Yun Zhang|None!!!Design Automation for Interwell Connectivity Estimation in Petroleum Cyber-Physical Systems*@*Group Detection in Real-World Social Networks
Xudong Zhao|None!!!SRConfig: An Empirical Method of Interdependent Soft Configurations for Improving Performance in n-Tier Application
Xu Wu|None!!!Diffusion of Information in Mobile Social Networks: A Brief Survey
Wei Wu|None!!!The Social Feature-Based Priority Relation Graph of Mobile Social Networks
Daoli Huang|None!!!Research on Information Security Risk Control and Legal Regulation of Typical Cloud Computing Services
Zhuoming Xu|None!!!Effective Social Circle Prediction Based on Bayesian Network
Dapeng Wang|None!!!Real-Time, Real-Location, and Real-Identity Service Information (R3SI) Based Application Enabled Mobile Service Architecture in Cellular Networks
Ke Ding|None!!!Bio-inspired Application Scheduling Algorithm for Mobile Cloud Computing
Wanyu Huang|Shanghai Jiao Tong University!!!A genetic-algorithm-based information evolution model for social networks*@*Multiple evidence fusion based information diffusion model for social network
Xiaofang Zhang|None!!!An Automated Testing Platform for Mobile Applications
Chen Chen|Tsinghua University!!!Cyber-physical assessment and comparison between centralized and distributed control mode in coordinated substation voltage control
WenAn Tan|None!!!A Trust Service-Oriented Scheduling Model for Workflow Applications in Cloud Computing*@*A Trust Service-Oriented Scheduling Model for Workflow Applications in Cloud Computing
Hongsong Zhu|None!!!RestThing: A Restful Web Service Infrastructure for Mash-Up Physical and Web Resources
Laizhong Cui|Shenzhen University!!!SocialStreaming: P2P-assisted streaming in social networks*@*A comprehensive trust-based item evaluation model for recommendation in social network
Xianglong Gu|None!!!CUDA-Enabled Multiple Symbol Detection for PCM/FM Demodulation
Xuefeng Zheng|University of Science and Technology!!!A survey of semantic similarity and its application to social network analysis
Zhengchuan Xu|Fudan University!!!An Integrated Service Selection Engine for Context-aware Computing
Gai-Ge Wang|Taiyuan University of Science and Technology!!!High Performance Computing for Cyber Physical Social Systems by Using Evolutionary Multi-Objective Optimization Algorithm
Fei Long|None!!!A Crowd Sourcing Service Model for Optimizing User-Desired Storage Resource Scheduling*@*A Crowd Sourcing Service Model for Optimizing User-Desired Storage Resource Scheduling
Erkun Yang|None!!!A Realistic and Optimized V2V Communication System for Taxicabs
Xu Xin|None!!!Verification of Hybrid Chi Model for Cyber-physical Systems Using PHAVer
Xu Xie|None!!!Joint Optimal Congestion Control and Channel Assignment for Multi-Radio Multi-Channel Wireless Networks in Cyber-Physical Systems
Yue Zhou|None!!!Comparative Analysis and Application on Mobile-Heating Technology of Regenerative Energy
Feng Li|South China University of Technology!!!Preference-Based Spectrum Pricing in Dynamic Spectrum Access Networks*@*Social network analysis of information diffusion on Sina Weibo micro-blog system
